lux,r,g,b,decision
10.3,155,113,60,WHITE
11.1,131,118,93,OFF
10.4,110,79,142,OFF
11.0,92,101,140,OFF
10.3,176,150,105,OFF
24.9,173,130,139,WHITE
26.7,173,166,23,OFF
10.8,145,137,117,OFF
8.7,206,116,146,OFF
19.2,130,212,80,OFF
11.0,188,126,80,RED
20.5,148,174,39,OFF
17.0,125,114,175,RED
3.3,173,157,84,OFF
27.8,166,165,122,BOTH
29.7,164,138,136,OFF
10.5,153,39,172,OFF
12.3,148,130,106,OFF
17.7,246,177,91,WHITE
18.1,197,150,119,OFF
20.7,179,147,163,OFF
31.5,154,64,106,OFF
14.0,190,102,75,OFF
9.0,170,145,52,RED
4.4,151,145,64,OFF
9.6,138,176,147,OFF
15.1,146,124,100,OFF
29.7,23,145,89,OFF
11.3,158,130,84,RED
17.2,130,92,116,BOTH
15.3,214,43,103,WHITE
24.9,150,146,102,OFF
35.6,102,136,166,OFF
11.1,148,106,173,RED
11.5,108,68,49,OFF
23.7,169,154,125,OFF
20.8,161,119,82,WHITE
30.2,188,151,103,OFF
20.1,118,201,125,OFF
12.5,151,48,104,OFF
20.1,95,103,122,OFF
24.3,178,122,139,OFF
22.0,171,186,124,WHITE
19.4,170,67,87,OFF
23.9,150,204,88,OFF
24.7,166,135,56,RED
26.4,214,126,79,OFF
20.6,138,122,190,OFF
14.1,155,113,81,OFF
16.6,106,170,65,RED
25.0,115,89,125,OFF
8.9,154,143,108,OFF
18.3,194,115,105,OFF
12.2,139,100,168,OFF
15.6,140,229,134,OFF
25.6,133,146,92,OFF
16.9,128,153,96,OFF
15.8,162,173,93,OFF
4.5,90,75,147,OFF
21.4,201,197,100,OFF
20.6,123,33,42,OFF
32.7,179,100,111,WHITE
12.9,99,112,52,RED
17.1,177,152,199,BOTH
17.4,177,138,74,OFF
28.0,165,123,106,OFF
14.6,110,129,123,OFF
17.6,160,92,101,OFF
20.3,102,72,101,OFF
16.9,140,158,129,OFF
11.8,191,156,173,OFF
16.9,182,190,143,OFF
24.0,150,99,171,OFF
7.2,111,156,71,OFF
16.5,176,119,125,OFF
9.8,150,175,119,OFF
24.9,57,169,126,BOTH
3.2,181,138,167,OFF
10.9,149,117,104,OFF
18.4,198,167,97,WHITE
27.9,106,155,134,OFF
14.9,22,103,42,OFF
11.0,161,79,103,OFF
30.4,161,119,107,OFF
3.8,82,188,76,OFF
0.0,110,174,154,OFF
18.9,255,87,71,OFF
11.4,137,85,107,RED
7.2,179,179,124,OFF
21.1,124,86,166,OFF
17.3,66,149,112,OFF
10.9,143,106,149,OFF
5.2,139,192,140,RED
22.4,134,100,117,OFF
20.6,145,174,70,RED
14.6,160,137,56,OFF
30.2,144,139,117,RED
6.8,99,54,91,OFF
3.2,169,45,149,OFF
9.9,72,121,142,RED
15.0,67,139,105,RED
17.3,179,87,67,OFF
13.5,170,88,133,BOTH
18.2,147,151,72,OFF
5.4,94,151,83,OFF
26.9,121,124,74,OFF
14.7,139,160,107,RED
24.3,86,85,159,BOTH
18.1,120,116,112,OFF
19.0,176,193,95,OFF
19.9,207,132,52,OFF
19.0,133,135,134,OFF
20.5,180,218,82,OFF
26.0,73,76,117,OFF
17.0,176,160,99,OFF
21.1,117,194,146,OFF
14.7,162,117,106,OFF
26.9,140,163,110,OFF
10.0,203,92,132,OFF
29.8,115,103,196,OFF
15.1,175,144,148,OFF
4.0,138,160,109,OFF
16.4,143,173,113,OFF
9.9,142,190,92,OFF
22.1,116,127,75,BOTH
10.2,149,175,91,OFF
11.8,147,117,82,OFF
0.3,159,164,138,OFF
11.8,153,138,70,OFF
0.0,182,147,165,WHITE
2.7,187,146,142,BOTH
21.5,108,68,113,OFF
21.7,185,87,113,OFF
18.8,102,134,91,RED
7.7,173,65,123,OFF
15.0,175,162,155,RED
15.4,73,163,85,RED
6.1,153,142,52,OFF
27.4,131,87,140,BOTH
22.4,119,183,125,BOTH
13.6,204,208,68,WHITE
15.6,123,135,84,OFF
17.1,117,149,79,OFF
0.0,153,137,84,OFF
13.4,177,150,100,OFF
9.9,144,125,102,OFF
7.4,196,128,87,OFF
13.1,171,164,83,OFF
29.8,62,220,103,OFF
20.5,128,76,119,OFF
10.8,127,126,100,OFF
20.0,169,84,158,RED
26.6,44,191,133,OFF
22.8,252,107,50,OFF
15.9,171,74,133,BOTH
10.2,156,154,136,OFF
21.0,197,197,95,OFF
18.5,244,155,54,RED
22.5,185,138,113,RED
20.5,188,145,112,OFF
23.8,155,184,68,WHITE
11.1,144,96,55,WHITE
25.9,131,125,109,OFF
17.0,117,112,103,OFF
32.0,122,85,96,OFF
9.9,96,117,109,OFF
29.3,147,172,69,OFF
17.0,82,151,95,RED
10.2,157,154,134,OFF
11.5,148,135,99,OFF
12.8,156,150,47,OFF
18.8,129,99,94,OFF
19.6,255,118,70,OFF
10.8,204,137,123,OFF
15.2,100,140,125,OFF
32.5,159,142,47,RED
29.2,125,124,142,OFF
18.9,109,115,69,OFF
15.7,96,251,174,OFF
16.4,167,164,111,OFF
20.3,122,146,63,OFF
7.2,189,121,67,OFF
13.3,190,112,126,OFF
2.1,205,125,97,OFF
18.6,116,141,109,OFF
20.6,169,58,176,OFF
11.5,175,69,85,BOTH
28.0,131,105,115,OFF
5.6,119,138,168,RED
3.7,214,121,123,OFF
17.2,159,186,49,OFF
23.8,175,73,132,RED
28.9,117,101,67,RED
11.7,101,188,168,OFF
24.0,127,135,80,OFF
15.1,145,164,230,OFF
14.0,107,208,170,OFF
22.5,149,103,81,WHITE
20.6,82,126,113,OFF
2.8,105,119,142,OFF
27.2,177,55,143,WHITE
26.4,174,118,130,OFF
10.4,134,163,162,OFF
18.6,109,150,108,WHITE
19.3,108,153,98,OFF
17.5,135,115,99,OFF
11.0,176,105,146,OFF
10.0,187,178,127,OFF
15.2,130,111,124,OFF
24.8,103,141,144,OFF
19.7,160,136,32,BOTH
12.4,117,186,125,BOTH
21.6,129,167,121,RED
0.0,203,80,178,OFF
24.6,183,84,52,BOTH
1.5,156,152,174,OFF
12.5,99,127,115,OFF
6.4,158,112,132,OFF
5.0,192,169,179,OFF
24.7,135,137,135,OFF
11.7,204,132,128,RED
18.2,202,160,122,OFF
15.0,216,115,93,OFF
19.2,162,190,111,OFF
16.0,173,99,84,WHITE
5.1,206,155,111,OFF
23.4,168,185,20,OFF
11.4,130,77,129,OFF
3.0,132,117,108,OFF
12.0,159,174,99,BOTH
27.4,98,174,121,OFF
22.2,144,123,56,OFF
12.6,194,101,189,OFF
12.6,62,166,108,WHITE
12.8,211,175,107,OFF
32.0,195,85,74,OFF
18.4,131,83,113,OFF
18.8,172,138,167,OFF
23.6,150,154,153,WHITE
17.3,199,118,146,BOTH
13.3,189,156,134,BOTH
13.8,94,102,98,BOTH
14.8,173,49,55,RED
15.1,141,113,105,OFF
21.2,153,132,103,RED
15.8,120,119,154,OFF
21.2,220,85,125,OFF
14.7,191,60,176,OFF
16.0,120,110,160,BOTH
0.0,96,164,95,OFF
22.7,134,178,42,WHITE
18.2,167,175,167,OFF
23.4,159,98,166,OFF
0.0,200,85,59,OFF
32.1,181,149,172,OFF
14.3,189,154,128,OFF
24.2,163,145,119,OFF
7.1,94,52,176,RED
20.3,142,96,166,OFF
7.0,192,129,138,OFF
10.4,148,148,131,OFF
30.7,170,159,137,OFF
13.9,137,135,97,OFF
17.1,108,142,110,OFF
22.3,145,133,77,OFF
19.4,162,156,99,OFF
16.6,123,142,98,RED
18.3,140,132,87,RED
34.6,112,119,118,OFF
14.9,195,133,100,OFF
17.0,138,148,132,OFF
23.8,208,140,49,OFF
24.2,211,144,108,RED
24.9,146,181,118,OFF
20.5,109,140,100,OFF
6.3,66,105,106,OFF
28.4,91,164,50,BOTH
6.2,95,77,127,RED
17.8,205,88,138,WHITE
9.4,154,143,132,OFF
14.9,165,150,153,OFF
18.0,61,82,120,OFF
18.0,102,115,131,OFF
18.8,185,106,119,OFF
28.3,161,111,140,OFF
19.0,144,166,50,OFF
13.4,172,157,77,RED
23.1,215,129,175,OFF
24.9,141,109,16,OFF
5.6,152,78,107,OFF
20.2,157,184,159,OFF
21.0,246,152,109,OFF
13.0,66,103,97,OFF
26.4,177,157,118,OFF
14.2,145,127,99,OFF
16.4,172,119,114,OFF
14.0,123,146,86,OFF
15.5,148,101,156,OFF
6.6,178,116,169,OFF
3.9,255,134,107,OFF
28.1,182,111,58,RED
8.6,116,155,92,OFF
7.5,133,201,105,OFF
0.0,132,101,132,BOTH
10.3,78,66,73,RED
4.8,136,53,82,BOTH
28.5,179,124,133,OFF
23.5,99,104,150,OFF
9.9,192,138,88,OFF
33.4,169,135,60,OFF
23.2,120,68,242,BOTH
12.8,144,60,143,OFF
0.0,214,141,102,WHITE
33.7,179,135,147,OFF
4.3,150,113,108,OFF
2.2,140,66,147,WHITE
23.6,153,148,119,RED
34.9,129,178,116,BOTH
26.5,65,140,108,RED
19.9,232,97,55,OFF
20.1,156,131,189,OFF
22.2,166,77,75,WHITE
21.5,147,170,59,OFF
17.6,120,133,104,OFF
16.2,142,62,75,OFF
14.9,86,118,110,OFF
9.4,241,147,140,OFF
13.1,100,117,152,RED
1.9,108,119,145,OFF
14.6,132,83,100,OFF
7.5,201,151,114,RED
6.6,150,105,129,OFF
16.8,100,47,43,RED
26.5,200,115,135,OFF
22.7,179,167,55,BOTH
2.8,171,115,193,OFF
7.5,178,196,97,OFF
22.9,246,146,105,WHITE
7.5,237,143,82,RED
13.6,122,125,88,OFF
19.8,215,127,202,BOTH
7.7,165,120,150,OFF
16.2,170,118,51,BOTH
4.7,82,150,172,OFF
10.6,143,94,160,OFF
17.9,117,88,101,OFF
2.7,183,87,125,OFF
18.9,193,208,112,OFF
15.2,66,150,190,OFF
19.8,149,141,81,OFF
17.2,195,89,118,OFF
26.3,142,154,96,OFF
16.4,179,125,56,WHITE
12.0,164,138,199,OFF
16.4,163,92,66,RED
19.7,139,136,121,BOTH
15.8,101,113,44,OFF
15.7,105,100,97,BOTH
9.8,178,158,129,OFF
10.1,150,71,80,OFF
4.2,144,151,136,OFF
29.4,133,156,102,OFF
5.5,137,96,158,WHITE
9.9,192,98,166,OFF
9.7,136,121,89,OFF
22.5,96,141,116,RED
13.0,180,124,120,OFF
25.4,141,146,137,OFF
10.0,151,197,113,OFF
17.6,214,110,120,WHITE
8.7,149,64,103,RED
32.5,161,161,117,OFF
5.9,102,194,164,OFF
17.9,141,145,138,OFF
20.5,174,88,140,OFF
18.7,87,125,141,RED
13.9,158,87,106,OFF
14.4,154,154,125,OFF
15.7,151,78,70,WHITE
14.2,191,118,163,RED
23.1,163,91,3,OFF
33.1,209,135,109,OFF
10.9,110,116,157,OFF
4.4,155,136,59,OFF
14.7,153,131,128,OFF
36.0,107,92,86,OFF
9.0,188,154,98,RED
28.5,243,128,150,BOTH
28.8,149,92,120,OFF
11.0,170,216,32,OFF
19.9,153,148,74,OFF
28.4,121,124,151,WHITE
12.4,77,184,130,WHITE
13.8,121,200,181,OFF
10.7,94,124,179,OFF
7.3,218,143,99,RED
10.2,145,92,211,OFF
5.6,136,124,113,OFF
15.7,185,122,75,OFF
9.2,105,137,88,RED
17.3,119,142,24,OFF
3.0,152,151,176,WHITE
18.0,191,139,175,OFF
22.1,170,83,72,RED
0.0,160,94,104,OFF
18.4,153,109,116,OFF
25.2,166,119,75,RED
5.7,158,170,43,RED
28.8,108,85,104,WHITE
18.7,152,116,100,OFF
9.8,107,166,97,OFF
14.9,153,118,121,OFF
19.9,130,147,169,OFF
16.0,252,124,101,WHITE
19.7,148,140,119,OFF
8.0,93,121,141,OFF
16.7,144,155,134,OFF
4.1,171,70,88,OFF
14.5,217,116,116,WHITE
8.2,126,141,134,OFF
9.5,86,150,68,OFF
25.3,182,187,162,RED
24.1,94,115,169,OFF
20.3,132,186,84,OFF
6.7,139,104,120,OFF
12.9,147,181,138,OFF
25.1,177,161,91,OFF
16.5,122,95,131,OFF
33.9,139,141,119,OFF
18.5,149,128,55,OFF
16.9,156,154,131,OFF
12.9,154,121,69,OFF
16.5,167,118,150,WHITE
14.2,184,182,86,OFF
21.1,165,126,106,WHITE
23.0,168,161,167,OFF
9.1,86,121,132,OFF
4.8,152,194,70,OFF
0.7,169,104,73,BOTH
19.5,179,106,89,OFF
6.6,122,188,128,OFF
0.0,123,113,127,BOTH
18.5,127,191,79,WHITE
35.3,171,164,67,OFF
15.3,191,124,124,BOTH
22.1,133,60,105,OFF
16.0,186,129,198,OFF
14.6,155,134,114,OFF
22.7,145,174,184,OFF
13.1,141,191,66,OFF
17.5,180,103,51,RED
18.0,163,160,68,OFF
10.1,241,159,159,OFF
23.3,116,171,182,WHITE
14.0,170,149,82,OFF
9.4,128,55,94,BOTH
19.7,115,124,66,BOTH
8.2,149,85,41,BOTH
15.6,155,122,141,RED
15.3,255,167,121,OFF
24.1,142,141,113,OFF
19.2,104,174,57,OFF
15.2,161,143,177,OFF
21.9,66,80,93,OFF
26.5,146,33,134,OFF
19.9,150,135,55,BOTH
15.5,182,121,105,WHITE
4.9,189,92,124,OFF
6.9,130,64,125,OFF
13.0,144,101,119,OFF
10.5,119,122,132,WHITE
13.9,104,155,68,OFF
15.8,162,137,120,OFF
19.6,99,191,117,OFF
14.8,133,90,122,OFF
19.3,110,163,115,BOTH
15.9,172,132,62,OFF
0.0,222,156,61,OFF
7.9,97,113,25,WHITE
14.2,75,171,145,WHITE
5.7,145,141,145,WHITE
20.2,150,104,146,OFF
27.6,158,129,125,OFF
25.1,132,120,28,OFF
13.7,142,148,72,OFF
27.3,164,84,119,OFF
16.6,191,129,118,OFF
12.7,71,145,104,OFF
10.5,135,131,127,WHITE
13.0,158,181,113,OFF
12.3,113,159,117,WHITE
16.8,219,129,87,OFF
16.7,124,138,151,OFF
15.4,148,141,96,OFF
18.9,172,145,60,RED
24.9,126,60,82,OFF
23.0,76,118,99,WHITE
3.5,133,73,152,OFF
0.0,191,179,111,WHITE
22.9,136,127,105,OFF
4.5,116,122,63,WHITE
13.6,187,164,143,OFF
6.0,136,146,87,RED
1.0,129,86,109,OFF
19.7,156,127,171,OFF
21.5,181,117,133,WHITE
10.8,245,63,48,OFF
0.0,183,103,43,OFF
11.0,196,123,110,RED
18.5,129,125,65,OFF
3.6,109,73,138,OFF
16.9,152,174,114,OFF
15.3,154,126,119,RED
20.0,106,131,85,OFF
16.3,143,145,181,OFF
7.6,166,99,225,OFF
25.0,164,147,102,WHITE
14.1,170,116,126,WHITE
15.2,161,95,116,RED
7.9,129,152,102,OFF
11.8,129,187,80,OFF
8.3,102,157,70,OFF
14.0,221,165,68,OFF
29.1,150,110,128,BOTH
4.4,141,68,92,RED
2.5,112,187,11,OFF
27.2,255,209,130,OFF
13.7,107,189,111,OFF
10.0,133,117,166,OFF
23.7,166,85,127,RED
10.6,174,89,54,OFF
30.0,188,65,25,OFF
20.8,222,126,84,BOTH
11.5,170,191,88,OFF
32.6,107,124,150,OFF
10.6,139,141,112,OFF
21.3,162,182,157,WHITE
17.8,233,114,60,WHITE
25.8,94,208,151,OFF
27.9,198,206,141,OFF
15.6,157,125,33,OFF
9.4,183,108,165,OFF
19.1,146,156,116,OFF
10.0,116,116,128,OFF
31.5,180,85,78,OFF
16.5,176,179,163,RED
12.5,189,176,66,OFF
16.9,149,136,145,OFF
4.6,126,81,145,OFF
7.6,87,83,74,OFF
25.0,183,134,191,OFF
10.1,167,111,122,OFF
7.0,111,117,138,RED
19.7,128,169,52,RED
24.9,131,158,196,RED
21.1,90,183,64,OFF
23.4,117,92,153,RED
9.3,104,117,73,OFF
4.0,133,159,88,BOTH
27.4,120,147,144,OFF
12.8,84,188,153,OFF
13.4,231,146,62,OFF
26.0,200,201,155,BOTH
19.8,118,150,154,BOTH
19.0,161,170,76,RED
32.7,166,117,176,OFF
10.2,197,130,55,OFF
22.8,117,165,88,BOTH
15.8,194,192,131,OFF
17.5,128,158,79,BOTH
27.6,96,126,123,OFF
19.5,179,183,122,OFF
19.7,201,46,105,RED
24.0,254,75,145,OFF
12.5,102,156,104,BOTH
8.7,178,130,122,OFF
7.0,133,153,158,WHITE
0.0,181,132,144,OFF
31.8,91,152,143,RED
6.6,99,98,67,OFF
13.6,119,152,133,OFF
13.2,153,168,78,OFF
17.8,124,177,62,BOTH
21.9,176,207,110,OFF
22.3,191,139,77,OFF
10.7,174,140,144,WHITE
14.1,215,71,145,OFF
17.7,166,109,38,OFF
13.4,101,122,80,OFF
28.2,204,170,55,WHITE
19.3,125,106,94,OFF
21.3,186,160,130,OFF
20.7,213,130,103,WHITE
24.8,168,123,89,RED
16.8,90,139,164,OFF
5.0,113,115,22,RED
18.6,203,113,161,WHITE
10.2,143,64,91,OFF
11.2,153,120,109,RED
20.1,180,111,92,OFF
25.3,178,110,173,OFF
15.6,161,146,64,OFF
17.9,141,155,113,OFF
29.0,137,139,133,OFF
17.3,184,168,49,RED
36.2,172,152,76,OFF
19.9,139,118,107,OFF
1.3,193,112,78,OFF
21.4,145,142,80,RED
18.4,116,152,99,OFF
25.7,119,183,138,OFF
20.8,110,175,99,OFF
14.3,139,109,155,RED
5.6,199,126,73,OFF
13.7,117,155,63,RED
8.6,157,171,188,OFF
10.8,123,166,87,OFF
20.1,139,127,61,OFF
28.7,89,82,44,BOTH
18.5,141,91,155,OFF
5.8,142,140,99,OFF
18.9,171,143,103,OFF
25.0,159,88,106,OFF
10.5,102,131,152,OFF
14.3,193,154,105,RED
15.5,158,86,205,OFF
9.1,158,172,118,OFF
20.6,149,115,154,OFF
14.4,129,178,144,OFF
18.7,158,109,111,OFF
8.3,169,90,89,OFF
11.9,80,112,126,BOTH
21.2,128,126,133,OFF
12.4,139,115,90,OFF
29.2,160,121,119,OFF
12.2,198,143,161,OFF
17.2,119,123,194,RED
22.8,130,127,146,RED
4.1,129,64,186,OFF
1.3,118,145,88,OFF
3.2,136,126,140,OFF
25.5,181,191,165,OFF
11.0,107,94,77,OFF
35.8,167,60,93,RED
10.9,81,153,181,OFF
16.9,127,143,74,OFF
27.7,136,91,60,OFF
31.4,217,71,173,OFF
31.9,139,189,160,OFF
25.1,61,184,130,OFF
23.6,70,34,111,RED
20.1,151,112,95,OFF
21.6,174,194,124,OFF
11.0,165,111,175,OFF
8.9,156,111,122,BOTH
15.4,196,119,198,BOTH
14.0,128,87,77,WHITE
11.8,186,64,112,RED
21.0,84,170,98,OFF
23.0,113,59,70,RED
16.1,77,139,106,BOTH
27.2,139,164,129,OFF
6.3,148,74,133,OFF
13.8,154,94,198,OFF
9.7,152,176,131,OFF
0.5,113,150,158,OFF
14.7,142,106,115,OFF
14.4,90,176,179,OFF
27.5,204,176,207,BOTH
20.4,138,140,133,OFF
7.2,130,95,73,RED
30.2,213,114,91,OFF
25.2,100,141,124,OFF
20.0,105,122,130,OFF
13.6,106,166,140,OFF
7.7,147,71,131,OFF
12.4,167,72,113,OFF
24.1,179,137,87,OFF
30.5,253,111,128,OFF
27.7,59,106,186,OFF
11.5,174,62,153,OFF
6.4,127,130,134,OFF
16.5,126,128,153,OFF
1.3,125,155,98,OFF
18.0,113,132,92,OFF
14.2,217,125,83,OFF
11.7,183,175,108,OFF
2.6,151,79,96,OFF
19.5,204,150,160,OFF
11.1,89,66,94,OFF
6.0,96,98,81,OFF
0.0,62,83,189,OFF
15.2,122,160,95,WHITE
29.6,156,127,119,RED
28.7,154,129,130,OFF
11.7,156,87,68,WHITE
10.6,93,118,161,OFF
19.1,182,100,138,OFF
7.4,159,144,174,BOTH
17.8,179,92,86,WHITE
21.5,74,181,116,OFF
25.2,162,65,114,OFF
14.6,102,99,123,OFF
13.8,134,194,55,OFF
8.4,171,113,117,OFF
8.8,153,79,56,OFF
13.6,116,138,127,WHITE
18.3,150,111,29,OFF
22.7,88,98,40,RED
9.0,196,88,145,OFF
27.3,141,236,91,OFF
13.2,195,120,74,OFF
15.2,129,56,163,OFF
9.4,129,187,125,OFF
0.0,119,153,147,OFF
22.5,185,100,106,OFF
21.3,121,94,218,OFF
13.1,176,156,89,OFF
15.9,134,120,181,OFF
19.5,70,56,110,OFF
2.9,127,198,47,OFF
11.2,102,113,132,OFF
21.7,151,187,125,WHITE
5.4,102,179,71,OFF
17.7,187,91,76,OFF
4.6,146,169,112,OFF
19.1,143,105,126,OFF
15.1,176,58,15,OFF
2.5,188,113,154,OFF
24.7,149,145,93,RED
9.5,119,112,60,OFF
8.9,79,118,150,OFF
17.0,122,174,112,OFF
24.6,125,134,160,OFF
7.3,154,97,130,OFF
15.9,136,157,112,RED
18.8,177,137,106,RED
20.9,125,33,132,RED
16.8,147,146,96,OFF
12.5,197,145,79,RED
8.8,163,130,137,OFF
16.1,147,164,107,RED
6.8,126,104,114,BOTH
0.0,124,143,155,OFF
18.9,116,70,108,OFF
22.6,128,145,113,OFF
0.0,180,205,89,OFF
7.3,141,92,129,OFF
20.3,96,101,126,BOTH
31.8,221,102,148,OFF
15.6,163,135,90,OFF
9.6,93,89,94,OFF
13.9,132,146,144,RED
26.4,154,162,122,OFF
10.2,218,150,77,OFF
9.0,105,62,164,OFF
11.5,189,168,46,OFF
7.8,206,166,143,OFF
16.4,124,162,63,OFF
28.4,139,144,187,RED
18.0,108,138,52,BOTH
13.4,142,169,158,OFF
13.1,148,203,109,OFF
2.9,176,93,98,WHITE
22.5,193,171,120,OFF
14.8,120,126,137,OFF
14.0,71,125,77,OFF
40.9,149,71,80,OFF
17.8,161,119,138,OFF
9.4,160,91,45,OFF
12.0,137,112,89,BOTH
24.6,155,88,232,OFF
16.3,210,112,74,OFF
3.9,165,114,158,OFF
22.7,135,133,89,RED
10.1,130,68,133,OFF
30.4,143,74,138,OFF
24.0,215,144,157,OFF
11.8,142,99,105,OFF
25.6,149,171,191,OFF
15.9,130,138,89,WHITE
22.2,194,153,122,OFF
19.3,228,184,122,BOTH
8.6,168,118,68,OFF
10.2,153,108,101,OFF
23.6,151,163,119,OFF
12.7,54,149,95,BOTH
12.2,180,122,209,RED
7.8,155,183,79,OFF
18.8,167,122,159,OFF
31.9,121,131,146,OFF
6.9,134,131,112,OFF
15.6,133,94,78,OFF
26.7,191,133,82,RED
14.8,135,183,92,OFF
19.0,233,147,42,OFF
6.9,167,131,73,OFF
18.8,99,123,54,OFF
13.9,145,142,166,OFF
23.3,124,158,137,OFF
24.9,62,153,143,OFF
36.1,214,117,136,WHITE
20.0,178,142,119,OFF
18.0,171,148,170,OFF
16.9,156,91,88,OFF
12.6,94,136,117,OFF
18.1,130,47,142,RED
13.0,183,148,60,OFF
16.7,108,155,235,WHITE
25.9,48,158,114,RED
7.3,141,115,118,RED
24.5,144,142,162,OFF
25.9,155,184,149,OFF
14.4,179,184,114,OFF
0.0,175,129,118,WHITE
10.5,160,135,53,OFF
25.8,198,172,91,OFF
15.2,89,72,133,OFF
7.4,170,117,130,OFF
11.4,175,181,161,RED
22.1,100,167,108,OFF
19.8,89,144,58,OFF
13.5,120,72,154,OFF
12.5,123,128,169,OFF
12.3,180,107,148,OFF
8.0,125,142,106,RED
28.3,115,99,154,OFF
12.8,125,90,248,OFF
25.1,195,50,117,OFF
27.6,150,177,61,BOTH
23.4,143,114,89,WHITE
11.9,145,136,137,WHITE
18.6,202,130,49,OFF
15.2,120,89,119,RED
8.2,202,81,127,RED
18.0,158,91,173,OFF
6.0,143,102,164,OFF
24.9,250,144,147,BOTH
11.7,107,99,27,OFF
17.0,136,197,149,OFF
17.7,100,169,140,OFF
13.3,188,161,123,OFF
20.1,217,125,44,OFF
11.6,217,188,82,OFF
22.4,199,121,67,RED
4.6,142,128,33,RED
16.4,135,136,112,RED
30.9,83,157,81,OFF
7.4,231,154,216,OFF
10.0,169,111,106,OFF
19.5,130,109,163,OFF
16.8,203,154,51,OFF
18.2,111,157,92,RED
19.3,166,115,116,OFF
20.5,143,69,77,OFF
24.3,175,122,96,OFF
18.7,147,154,104,OFF
13.5,92,199,103,BOTH
20.8,153,84,186,BOTH
30.6,192,113,127,OFF
14.3,149,115,131,OFF
7.6,181,182,134,OFF
24.2,108,128,137,RED
14.4,149,95,109,OFF
0.0,125,151,100,OFF
22.2,180,114,119,OFF
11.1,151,83,158,OFF
14.7,177,95,157,OFF
18.0,193,196,103,OFF
16.9,177,144,143,OFF
21.1,161,134,105,OFF
11.9,110,120,114,BOTH
19.5,150,141,94,OFF
13.3,128,140,105,OFF
21.3,136,141,165,WHITE
20.3,135,134,116,WHITE
7.9,110,163,118,OFF
24.1,71,131,55,OFF
11.1,123,92,100,OFF
21.9,157,106,103,OFF
18.3,96,54,80,BOTH
30.1,150,207,113,OFF
13.6,226,163,96,OFF
12.6,191,98,116,OFF
15.2,216,119,117,OFF
13.0,165,105,75,OFF
21.8,197,189,97,OFF
2.5,121,75,116,OFF
7.0,124,134,159,OFF
6.9,40,126,123,OFF
23.0,197,161,86,OFF
29.1,211,126,128,OFF
14.6,128,62,180,OFF
14.0,140,120,149,OFF
16.0,119,92,134,OFF
24.7,165,133,141,RED
8.0,195,185,169,OFF
17.3,80,63,155,WHITE
23.2,166,99,135,RED
19.4,139,108,155,OFF
16.9,154,115,70,OFF
23.4,168,158,53,OFF
0.0,142,123,119,BOTH
20.8,146,146,115,OFF
10.2,141,106,91,OFF
0.8,189,139,145,OFF
19.5,167,160,39,RED
26.4,159,102,91,OFF
14.3,99,160,93,OFF
23.0,135,132,48,OFF
28.3,186,170,171,OFF
25.9,151,122,59,OFF
28.5,176,144,89,OFF
21.3,221,128,148,RED
16.0,191,126,138,RED
2.6,153,140,69,RED
13.4,129,150,139,OFF
8.7,47,82,124,RED
32.7,143,185,204,OFF
14.0,137,58,128,OFF
16.4,165,103,107,BOTH
19.8,144,126,79,RED
15.7,137,146,83,OFF
28.9,78,190,80,WHITE
10.4,112,58,167,BOTH
16.9,169,110,113,OFF
9.5,219,48,135,OFF
4.8,146,131,172,RED
10.5,163,140,20,OFF
15.1,188,191,163,OFF
12.0,117,134,115,RED
9.9,164,170,130,OFF
4.2,120,152,80,OFF
14.7,184,113,83,OFF
3.4,156,76,132,OFF
21.5,162,140,206,BOTH
16.1,118,72,152,OFF
3.7,178,179,162,OFF
12.9,233,123,105,BOTH
9.4,109,176,89,WHITE
17.9,136,111,82,OFF
26.1,159,140,93,WHITE
0.4,181,138,32,OFF
16.3,127,128,84,OFF
14.1,36,113,90,OFF
20.8,204,145,106,OFF
17.1,180,94,118,OFF
9.4,80,83,127,OFF
12.8,125,177,112,OFF
9.0,213,158,90,OFF
24.0,208,132,35,OFF
15.6,187,194,90,OFF
30.6,143,119,74,OFF
14.9,153,180,131,OFF
9.7,144,136,148,OFF
3.3,195,90,149,OFF
1.0,115,201,142,OFF
2.7,117,168,107,OFF
17.5,190,125,92,RED
19.5,148,158,83,BOTH
2.8,205,114,53,RED
22.5,123,162,152,OFF
11.5,148,38,106,OFF
16.6,113,91,63,OFF
28.3,150,167,80,WHITE
22.6,90,120,78,OFF
13.2,130,138,114,OFF
8.3,92,78,155,OFF
0.0,178,201,99,RED
9.6,178,175,24,OFF
13.7,80,122,105,OFF
7.5,203,114,106,WHITE
14.3,250,169,104,OFF
16.0,152,206,88,OFF
13.6,124,166,121,OFF
10.2,255,213,115,OFF
16.7,97,94,112,OFF
18.9,151,98,129,OFF
6.7,157,84,96,OFF
26.7,204,147,93,RED
14.6,164,136,167,OFF
15.5,130,124,135,OFF
21.1,112,161,145,OFF
17.3,136,177,161,RED
23.0,109,71,133,OFF
17.7,152,107,149,OFF
10.5,127,161,50,OFF
18.3,90,112,121,OFF
6.3,200,99,105,OFF
16.3,130,169,179,RED
15.1,99,80,149,OFF
13.7,143,118,88,WHITE
14.4,152,142,127,OFF
0.4,80,108,119,RED
11.0,163,160,130,OFF
16.1,108,108,72,OFF
16.7,218,184,127,OFF
